symbol,direction,entry_time,exit_time,duration_min,qty,entry_price,exit_price,realized_pnl,commission,net_pnl,win,pct_return
ABBV,LONG,2026-04-21 12:19:48-04:00,2026-04-21 12:31:06-04:00,11.3,450.0,205.53,205.72444444444446,81.005184,6.494816,74.510368,1,0.09460635646594515
COST,LONG,2026-04-21 12:35:14-04:00,2026-04-21 12:50:14-04:00,15.0,92.0,1003.85,1000.99,-267.035016,3.915016,-270.95003199999996,0,-0.2849031229765417
COP,LONG,2026-04-21 12:25:19-04:00,2026-04-21 13:27:41-04:00,62.36666666666667,779.0,118.3034274711168,119.04,563.937812,9.852188,554.085624,1,0.622613008454917
OXY,LONG,2026-04-21 13:10:08-04:00,2026-04-21 13:31:15-04:00,21.116666666666667,1651.0,55.839999999999996,56.19193216232586,562.296934,18.743066,543.553868,1,0.6302510070305628
VLO,LONG,2026-04-21 12:50:23-04:00,2026-04-21 13:32:49-04:00,42.43333333333333,400.0,231.23,232.05000000000004,322.009908,5.990092,316.019816,1,0.3546252648877957
WMT,LONG,2026-04-21 13:48:29-04:00,2026-04-21 13:58:31-04:00,10.033333333333333,713.0,129.42,129.5101683029453,54.128744999999995,10.161254999999999,43.96749,1,0.06967107320761946
